6,Monster,11,

6,Hypermotard,11,

6,Streetfighter,11,

6,Diavel,11,

6,Scrambler 800,11,

6,Superbike,11,

7,Cross Roads,11,

7,Cross Country,11,

7,Vegas,11,

7,Gunner,11,

7,Judge,11,

7,Boardwalk,11,

7,Vision Tour,11,

7,Cross Country Tour,11,

7,Magnum,11,

7,High-Ball,11,

7,Jackpot,11,

7,Ness Magnum,11,

7,Hammer,11,

7,Cross Country LE,11,

7,Magnum X-1,11,

8,Vulcan 2000,11,

8,Vulcan 1600,11,

8,Vulcan 1500,11,

8,Z1000,11,

8,Ninja ZX-6R,11,

8,ZZR600,11,

8,Vulcan 500,11,

8,Ninja 250R,11,

8,KLR650,11,

8,Ninja ZX-10R,11,

8,Ninja ZX-14,11,

8,Vulcan 900,11,

8,Versys,11,

8,KLX250,11,

8,ER-6n,11,

8,Ninja ZX-14R,11,

8,Ninja 650,11,

8,Ninja 300,11,

8,Ninja H2,11,

8,KX85,11,

8,KX65,11,

8,KX250F,11,

8,KX450F,11,

1,CBR300R,9,

1,CBR500R,9,

1,CBR600RR,9,

1,CBR650F,9,

1,NC700X,9,

1,XR650L,9,

1,VFR 750F,9,

1,CBR300RA,9,

1,CBR500RA,9,

1,CRF450R,9,

1,CRF250R,9,

1,CRF150F,9,

1,CB500XL-CB500X,9,

1,CMX250-REBEL,9,

1,CTX700NL-CTX700N,9,

1,VT750C-SHADOW AERO,9,

1,VT1300CX-FURY,9,

1,VT1300CR-STATELINE,9,

1,CBR1000S/CBR1000RR,9,

2,GSF1250S,9,

2,GSX650F,9,

2,GSX1300RR,9,

2,GSX-R1000AL,9,

2,DR-Z400SM,9,

2,GSX600F,9,

2,GSF600S,9,

2,SV650/SV650S,9,

2,RM125,9,

2,RM250,9,

2,RM-Z250,9,

2,RM-Z450,9,

2,DR650SE,9,

2,GSX-R600,9,

2,GSX-R750,9,

2,GSX-R1000,9,

2,VZ800,9,

2,VZR1800,9,

2,GS500FK,9,

2,DL1000K,9,

3,YZF-R6,9,

3,YZF-R1,9,

3,FZ6R,9,

3,XVS13A,9,

3,FJR13A,9,

3,XVS95C,9,

3,FZ09,9,

3,XVS65,9,

3,YFZ450R,9,

3,XV19C,9,

3,XVS13C,9,

3,FZ07,9,

3,SR400,9,

3,YFZR3,9,

4,Trophy,9,

4,Daytona,9,

4,Trident,9,

4,Sprint,9,

4,Tiger,9,

4,Legend,9,

4,Adventurer,9,

4,Thunderbird,9,

4,Speed Triple,9,

4,Speed Four,9,

4,America,9,

4,Bonneville,9,

4,SpeedMaster,9,

4,Scrambler,9,

4,Thruxton,9,

4,Rocket III,9,

4,Street Triple,9,

4,TT600,9,

4,Street Twin,9,

4,Explorer,9,

4,Street Cup,9,

5,Switchback,9,

5,V-Rod,9,

5,Softail,9,

5,Fat Boy,9,

5,Road King,9,

5,Street Glide,9,

5,Road Glide Special,9,

5,Dyna Street Bob,9,

5,Dyna Fat Bob,9,

5,Dyna Wide Glide,9,

5,Sportster 1200,9,

5,Sportster XL883,9,

5,Electra Glide,9,

6,Multistrada,9,

6,Monster,9,

6,Hypermotard,9,

6,Streetfighter,9,

